Player,My C Won,Hands,Raise First,Limp,Att To Steal (SB),3Bet BB v SB,Call BB v SB,Fold BB v SB,Call PF 2Bet,3Bet PF,3Bet Steal,2Bet PF & Fold,Raise & 4Bet+ PF ,Fold to PF 4Bet+,3Bet PF & Fold,CBet F,Flop Cbet (HU),CBet T,CBet R,Fold to F CBet,Fold to F Cbet (HU),Fold to F CBet (3B),Fold to F CBet (non-3B),CBet F & Fold,XR Flop,Fold to F XR,Donk F,Donk T,Bet R & WSD,Call R & WSD,WSD,WSD (ns)
LotG,-23.77,"4,148",15.58,12.08,33.15,0,37.5,62.5,31.65,3.2,3.9,0,17.81,5.26,0,83.91,83.63,79.25,53.49,35.77,16.06,26.09,38.56,6.9,16.07,16.67,19.08,10.6,90.63,22.9,55.88,65.45
ABATAPP,67.68,"2,756",34.3,2.31,56.2,12.24,63.27,24.49,24.62,13.66,12.78,0,6.77,1.41,0,70.36,72.18,77.07,72.73,22.19,13.75,15.95,28.66,14.63,14.93,18.75,1.45,3.23,67.67,24.55,53.87,58.33
GünnyGutshot,100.60,"2,511",32.32,1.69,55.96,14.55,60,25.45,19.53,12.62,15.81,0,7.48,8.57,0,97.54,100,83.89,58.02,29.51,20.08,18.92,38.35,20.59,17.87,24.32,0.55,0.87,83.72,31.03,60.52,67.65
aries d,-447.59,"2,101",2.08,39.65,3.16,0,28.89,71.11,31.45,1.36,1.53,0,14.29,61.54,0,72.73,73.33,75,66.67,50.52,25.52,29.41,52.57,0,0,22.22,15.87,10,78.57,46.3,58.14,66.67
zahra5283,-141.39,"1,997",25,17.54,31.87,16,52,32,41.62,11.04,12.04,0,46.03,4.88,0,77.03,80,66.04,75,26.1,8.46,8.7,32.02,2.86,24.83,4.55,4.73,10.14,72.52,19.47,49.58,61.22
luckyficker,-227.50,"1,652",25.33,29.3,12.86,11.43,77.14,11.43,53.32,7.68,6.84,0,38.46,8.82,0,54.19,52.17,81.48,84.62,39.74,16.67,18.99,46.78,4.76,5.14,0,20.79,8,58.2,28.04,48.26,52.94
Hats007,-32.02,"1,642",28.19,27.9,33.33,9.68,74.19,16.13,56.92,6.85,5.1,0,12.9,9.09,0,93.64,95,67.39,58.82,28.57,10.36,14.43,33.85,0,1.95,3.23,13.51,1.5,71.88,22.22,50.86,40.82
charlyman666,-474.99,"1,583",27.52,11.86,59.09,7.14,67.86,25,37.65,7.77,9.58,0,31.75,0,0,86.93,87.83,69.23,78.57,29.25,14.15,25.4,30.87,4,17.14,0,2.31,2.04,67.65,17.17,41.41,30.3
jennyhu,-77.84,"1,423",29.06,3.59,57.5,16,40,44,21.35,9.74,14.07,0,9.8,18.18,0,91.28,95.28,70.27,57.14,31.85,17.04,22.81,38.46,11.76,11.02,9.52,8.7,10.81,77.59,26.19,54.05,54.55
karambakilla,-379.25,"1,421",43.11,2.65,64.86,16.67,64.81,18.52,28.2,19.48,23.94,0,12.5,2.38,0,87.24,90.75,75.81,70.69,22.22,11.11,16.22,28.57,6.67,25.32,12,3.85,6.38,70.3,17.05,48.83,45.45
