Player;Hands;VPIP;PFR;PFR/VPIP;3Bet PF;CBet F;Flop AF;Flop AFq;Fold to F CBet;Fold to F Bet;CBet T;Turn AF;Turn AFq;Fold T Bet;River AF;River AFq;Fold R Bet;Att To Steal (LP);Fold to Steal;3Bet Steal;3Bet Steal (SB);3Bet Steal (BB);Total AF;Total AFq;WSD;WTSD %;WWSF;Call R & WSD;Bet R & WSD;BB/100;My C Won;Call PF 3Bet;Limp;3Bet F XR;3Bet R;4Bet PF;3Bet BB v SB;XR Flop;XR River;XR Turn;Limp/Raise;Raise F CBet;Raise F CBet (3B);Raise F CBet (non-3B);Raise F Float;Raise First;Raise R CBet;Raise T CBet;Stole;Bet R;Call R Bet;Call R XR;CBet R;Fold R Bet;Fold to R 2Bet;Fold to R 3Bet;Fold to R 4Bet+;Fold to R XR;Fold to R Donk;CBet R & Fold;Raise R CBet;Call R Eff;Saw River;Saw River %;WSDWRR;Bet R & WSD;CBet T & Fold;CBet T & Fold (3B);CBet T & Fold (non-3B);Fold to T CBet;Fold to T XR;Raise T CBet;WSDWRT
Batovs;14,783;33.6;22.65;67.26;12.86;74.3;1.53;49.29;29.19;30.48;69.41;1.76;52.92;32.48;1.68;52.31;32.07;37.56;47.81;16.44;21.64;11.56;1.64;51.12;51.69;40.97;43.44;27.84;71.37;0.15;-107.14;31.89;1.98;40.48;15.49;15.9;23.59;14.64;4.8;13.81;0;18.05;16.52;18.71;5.88;32.73;7.82;24.32;22.08;52.84;57.54;60.71;74.25;32.07;28.17;8.33;0;17.86;13.64;10.34;7.82;2.14;2,592;74.27;76.77;71.37;9.3;13.79;5.63;26.32;7.22;24.32;63.14
Total;78,818;38.08;20.49;53.64;10.66;82.61;1.34;46.73;28.85;30.98;73.04;1.49;48.97;31.94;1.59;49.96;34.15;34.45;47.21;13.26;15.8;10.87;1.43;48.13;50.94;40.87;41.53;27.18;70.88;-3.06;-6905.47;45.46;9.25;23.99;18.32;11;17.15;12.41;4.74;12.6;2.09;16.5;18.84;15.31;6.3;30.12;10.5;17.38;19.62;48.64;55.59;66.67;69.78;34.15;29.58;10.67;2.04;13.49;16.44;18.75;10.5;2.02;15,837;74.57;72.39;70.88;16.87;14.34;18.62;26.69;14.95;17.38;62.63
ABATAPP;1,286;36.19;25.68;70.83;14.19;68.18;1.21;44.76;20.86;26.47;80.26;2.57;60.56;26.76;2.25;59.39;25.84;37.98;56.88;11.88;17.44;5.41;1.77;53.25;54.44;40.18;46.88;26.92;64.91;1.98;72.41;61.47;1.73;15.79;22.22;6.8;8.7;15.75;9.3;35.21;0;16.55;13.51;20;9.09;35.29;13.33;42.62;21.9;48.96;51.69;100;63.64;25.84;33.33;40;;0;25;0;13.33;2.36;246;73;55.56;64.91;16.67;0;25;21.31;7.69;42.62;56.76
zahra5283;1,239;42.95;18.88;43.89;12.87;78.43;1.57;50.2;27.5;30.15;65.82;2.14;53.21;42.17;1.73;51.64;37.96;33.05;38.53;12.84;15.79;9.62;1.77;51.53;47.21;42.83;38.05;20.55;71.43;-4.62;-131.21;39.56;17.7;50;25;24.14;6.25;22.11;3.64;15.89;4.08;28.75;30.56;28.23;20;24.46;0;18.75;12.63;46.94;55.56;50;69.23;37.96;25;0;0;0;11.11;0;0;1.56;307;71.9;90.91;71.43;30;12.5;100;50;16.67;18.75;68.97
GünnyGutshot;1,187;31.38;23.51;74.8;12.9;95.88;2.08;54.5;33.33;39.49;81.05;2.17;54.08;40.82;1.87;53.57;35.38;36.8;61.22;14.97;20;8.96;2.06;54.2;57.46;37.02;43.09;17.95;80.85;3.36;51.39;45;1.28;33.33;28.57;12.5;12;13.54;0;5.66;0;13.16;9.8;15.87;0;33.03;4.55;7.84;16.53;49.25;53.85;100;64;35.38;28.57;0;0;0;22.22;33.33;4.55;0.96;179;71.89;85.71;80.85;30;25;33.33;37.25;33.33;7.84;78.57
karambakilla;1,133;45.11;31.01;68.67;19.59;87.76;1.67;54.07;22.1;23.83;75.76;1.74;56.29;19.73;1.85;50.82;44.64;47.93;38.31;24.03;39.71;11.63;1.73;54.02;45.85;42.71;43.96;13.43;69.05;-9.92;-439.81;61.64;3.02;0;9.09;8.39;17.02;25.6;2.17;12.68;0;25.97;27.08;24.71;0;44.78;0;26.09;14.38;55.81;52.68;100;71.74;44.64;27.27;0;;0;0;0;0;0.96;293;79.19;66.67;69.05;23.08;0;42.86;17.39;25;26.09;60
LOLZ_KAR;961;27.06;19.36;71.09;15.89;82.54;3.27;67.67;25;29.07;69.7;2.48;62.3;29.23;1.31;46.46;27.69;29.38;46.91;23.46;27.03;20.45;2.42;61.3;48.65;43.7;46.85;28.89;78.79;-1.33;-54.97;19.42;3.37;75;20;7.07;25;27.12;9.38;23.68;20;44.23;60.87;31.03;50;25.82;20;18.75;18.75;45.45;63.08;100;59.26;27.69;50;0;0;0;33.33;;20;2.17;150;76.14;83.33;78.79;16.67;16.67;16.67;37.5;23.08;18.75;68.75
rseyler;935;28.8;11.12;38.49;5.04;63.93;1.28;40.98;36.46;40.94;58.82;1.15;40.96;37.37;1.29;44.12;33.33;26.9;57.14;2.52;1.79;3.17;1.24;41.57;51.69;31.67;37.37;34.29;84.21;-11.91;-256.8;32.39;13.25;27.27;60;10.14;4.35;16.16;7.41;14.29;3.33;21.88;17.39;23.29;50;17.51;30;12.5;15.69;39.36;58.33;0;80;33.33;40;;;0;0;0;30;2.32;131;68.95;66.67;84.21;;;;40.63;0;12.5;42.86
rchmin;866;23.57;14.07;59.41;1.54;83.33;1.4;46.78;21.74;27.96;50;2;48.08;50;1.56;40.58;52.5;31.4;74.49;2.04;4.08;0;1.58;45.93;48.15;29.35;38.04;44.44;73.33;-7.37;-253.12;39.02;2.36;0;20;1.22;0;16.39;12.5;14.29;0;21.74;27.59;17.5;0;25.06;11.11;15.38;23.44;40;40;;75;52.5;40;;;;0;;11.11;3.52;84;67.2;100;73.33;33.33;;33.33;34.62;33.33;15.38;75
LotG;850;26.65;9.98;37.39;1.84;86.96;1.67;47.62;38.27;41.28;73.91;2.32;59.85;30.19;1.54;52.63;27.78;23.57;72.34;2.13;2.17;2.08;1.82;52.39;54.55;35.65;47.22;26.92;78.95;-0.14;-12.71;46.43;11.7;0;60;2.56;0;10.77;0;30;0;27.16;29.17;26.32;0;17.65;0;52.63;25.49;44;63.89;0;42.86;27.78;0;0;0;0;0;;0;2.54;101;71.63;80;78.95;20;;20;15.79;14.29;52.63;53.85
AzureCaper;843;27.8;21.04;75.32;12.05;88.12;1.81;53.59;32.43;30;56.6;1.08;43.05;24.36;1.26;36.45;47.37;38.97;65.17;10.11;16.33;2.5;1.43;46.67;64.63;36.12;41.85;41.94;85;-0.82;-76.17;40;0.51;10;0;8.51;5.26;15.38;4;3.23;0;16.22;15;17.65;0;29.86;35.71;6.25;12.86;38.16;39.47;;55.56;47.37;50;;;;50;;35.71;2.83;129;77.25;100;85;50;100;0;21.88;50;6.25;57.14
jennyhu;826;28.54;18.79;65.52;8.39;92.94;1.44;47.11;34.88;38.39;80.49;2.42;52.98;43.66;1.96;54.65;32.43;36.88;53.25;15.58;27.03;5;1.77;50.31;56.1;34.89;41.28;29.17;79.31;1.24;20.42;43.9;2.63;15.38;20;8.54;15.38;11.59;5;19.44;0;15.12;18.92;12.24;;30.25;0;29.63;21.21;48.89;62.16;0;55.56;32.43;60;;;100;100;;0;1.79;110;67.9;100;79.31;50;66.67;40;37.04;20;29.63;78.57
Hats007;806;59.47;21.93;36.73;7.67;92.63;1.07;41.77;30.34;33.89;69.09;1.21;46.6;25.61;1.44;49.54;30.56;37.18;25.29;3.45;4.44;2.38;1.19;44.97;51.16;45.84;41.79;22.67;70.27;-1.68;-79.04;66.33;28.43;23.53;26.67;7.87;9.09;2.29;11.54;15.29;0;11.8;12.5;11.48;0;33.96;13.64;20.83;25.71;43.48;57.41;100;63.16;30.56;13.33;0;0;0;0;0;13.64;1.68;266;78.01;68.75;70.27;0;0;0;23.61;0;20.83;53.85
Doncoojones;790;31.63;16.56;52.23;6.19;82.8;2.39;54.65;37.33;41.9;55.81;1.89;48.61;45.21;1.92;50;46.67;29.23;50;8.57;10.26;6.45;2.14;52.02;54.65;32.82;40.46;8.33;83.33;-2.91;-59.68;37.68;4.96;55.56;40;8.96;7.14;13.92;4.76;8.33;0;21.33;15.79;23.21;0;28.27;0;9.09;8.16;41.24;46.67;100;66.67;46.67;20;0;0;0;0;33.33;0;0.33;123;69.89;60;83.33;33.33;0;50;36.36;33.33;9.09;81.82
Sharp(Gosu);780;30.77;23.34;75.85;12.37;96.97;1.8;57.03;17.65;22.22;75.56;2.2;57.32;30.77;2;57.69;23.26;33.81;60.92;18.39;27.08;7.69;1.95;57.25;50;38.18;50;10.34;63.64;0.14;-23.58;44.59;2.56;20;0;8.11;22.22;32.2;8.33;16.67;0;30.88;20.59;41.18;0;33.87;14.29;16.67;8.96;56.25;62.79;100;54.55;23.26;57.14;;;0;0;;14.29;0.55;117;71.34;100;63.64;30;25;33.33;41.67;37.5;16.67;53.85
TuristOnTilt;765;28.44;10.87;38.03;4.82;79.49;1.33;46.86;20.83;26;78.57;1.32;41.54;37.84;1.77;53.92;27.91;31.45;53.57;5.36;7.02;3.64;1.42;46.92;46.67;36.95;36.95;29.03;63.64;-6.63;-202.82;39.47;13.18;28.57;33.33;2.86;0;11.11;4.76;20;6.25;18.06;20;17.02;;16.84;0;15.38;22.81;55.68;65.12;100;50;27.91;44.44;;0;0;0;0;0;1.9;115;72.33;75;63.64;25;0;33.33;30.77;33.33;15.38;87.5
MATEKATA2;744;32.88;10.97;33.33;3.24;71.74;0.92;39.09;22.55;23.2;70;2.19;53.44;33.33;2.56;62.14;34.21;21.48;52.75;4.4;5.41;3.7;1.5;48.96;50.55;39.91;45.61;12;75.61;1.23;-2.85;41.82;14.32;100;0;0;8.33;11.76;0;22.58;0;21.57;26.32;20.48;0;18.29;10;24.39;30.77;60.2;52.63;100;50;34.21;20;0;;0;0;;10;0.3;124;70.86;50;75.61;50;;50;34.15;0;24.39;57.14
luckyficker;742;52.81;18.27;34.55;9.39;58.24;1.38;45.2;36.92;38.07;66.67;1.47;48.52;30.63;2.04;56.99;33.78;31.06;30.38;10.13;8.33;11.63;1.55;49.03;48.18;35.4;42.89;34.62;57.38;-0.67;-9.96;52.17;26.83;75;8.33;19.7;21.43;4.72;0;12.73;2.56;13.85;13.79;13.86;50;26.35;7.69;17.07;11.11;65.77;56.76;100;81.82;33.78;25;0;0;0;0;50;7.69;2.33;201;73.63;66.67;57.38;0;0;0;41.46;16.67;17.07;46.67
Hi Im Alexey;719;45.69;33.43;72.76;26.04;91.61;1.71;57.45;17.58;18.8;66.67;1.33;48.35;25;0.97;41.98;24.42;51.43;32.84;35.82;48.28;26.32;1.41;51.36;42.42;51.56;40.94;23.88;71.74;-17.3;-267.42;46.84;2.35;18.18;9.09;19.23;27.27;19.32;2.33;6.67;0;23.08;25;21.57;33.33;41.82;0;22.22;9.64;40.52;69.77;50;76.47;24.42;27.27;0;0;0;0;16.67;0;2.05;205;79.15;80;71.74;40;0;50;19.44;50;22.22;58.82
don mago 777;688;48.44;24.33;50;9.09;81.82;1.24;49.56;14.81;20.69;96;1.55;55.84;15.63;2.06;55.26;34.15;43.8;33.33;4.76;6.45;3.13;1.49;53.05;47.13;49.06;45.31;26;53.52;-8.09;-335.2;54.93;9.34;17.65;28.57;16.18;7.14;7.32;3.13;15;0;15.74;12;16.87;0;38.61;10.53;18;11.11;58.06;53.66;0;88.46;34.15;35.71;33.33;0;50;10;0;10.53;2.15;209;81.64;45.45;53.52;0;0;0;10;6.67;18;22.22
fugu82;669;45.92;20.91;45.39;8.36;98.78;1.45;48.17;29.66;33.99;74;1.49;50;31.37;1.98;58.79;17.54;36.8;29.49;5.13;8.11;2.44;1.57;51.17;50.39;41.78;40.46;31.91;62.71;2.85;7.28;60;7.51;11.76;16.67;9.59;0;16.3;0;10.42;0;27.12;37.84;22.22;0;34.49;15.38;6;20.34;69.42;66.67;0;80.95;17.54;38.89;25;50;0;0;100;15.38;2.12;167;74.22;100;62.71;25;;25;36;7.69;6;76.47
ebam_gnasno;649;34.89;12.81;36.61;8.28;46.81;0.8;33.52;32.67;30;53.85;1.48;46.1;35.37;2.62;66.32;15.79;21.88;52.08;8.33;5.88;11.11;1.31;45.3;58.62;39.91;44.95;25;75.86;8.76;315.66;46.51;14.97;0;0;7.06;22.22;10.59;27.78;11.9;4;20.79;24.14;19.44;;17.85;30;13.33;20;55.56;50;;100;15.79;28.57;;;;0;0;30;1.7;118;71.08;100;75.86;50;;50;36.67;20;13.33;46.67
