Player,Hands,XR Flop,XR Flop HU,XR Total,Fold to F XR
Total,8768355,9.54,12.82,8.41,37.32
Batovs,467632,14.92,18.95,12.54,35.26
Paulada007,272066,12.02,14.93,10.84,41.63
RafaelCulica,156257,14.49,18.07,11.30,48.63
edu.sombra,129247,10.56,14.35,8.00,46.18
Paulada006,118081,14.49,17.31,12.29,39.68
georgeroots,101489,9.64,11.60,8.71,39.29
higa1989,95526,12.80,15.31,10.34,33.85
J.R. Barbos,91277,9.07,13.63,7.56,47.45
Hey! Jhonny,78192,8.38,11.46,6.71,30.26
gahdukatti,71234,9.10,12.24,8.02,31.48
Higa89,59645,13.79,15.24,10.57,28.85
fabiocaprac,58576,6.20,7.81,5.73,53.80
jubikarox,56387,3.25,5.37,3.33,47.78
voktv,54771,8.41,12.84,8.14,50.00
89Higa,53165,14.83,18.28,11.14,32.28
RafaelBorracho,52847,13.57,17.47,10.50,44.70
elderfrankli,42577,7.47,10.23,8.10,32.05
rabbTbr,41653,7.20,11.82,6.15,32.89
rabbi789,37977,9.43,12.69,7.59,25.32
Shaolintkd,34025,6.64,10.00,5.83,29.76
edusombraBr,28222,6.51,9.19,4.96,46.88
MagrinhoBC,25223,7.69,10.09,8.13,39.58
Batovs,17015,17.74,21.27,14.19,38.36
GuIsrael,12680,21.65,34.52,16.28,40.98
jeffygross,8698,4.38,3.90,5.26,32.00
X!DoMyBestX,5501,9.33,12.00,8.04,53.85
Dizinfektor,5477,8.40,8.24,6.74,45.45
AvGales122,4539,7.56,11.32,6.20,33.33
@rtemur,4514,17.50,15.38,12.60,12.50
Rejahming,4172,10.37,8.77,9.96,40.00
3aHocKanycmy,4121,10.34,13.79,6.76,22.22
JapaSawada,3489,10.31,12.70,9.03,66.67
Kuringa_Gyn,3486,15.29,19.67,12.40,28.57
eazym0de,3470,8.08,13.33,6.49,66.67
Gugrand,3324,5.26,6.25,4.35,66.67
Kraja333,3284,11.36,14.29,10.00,40.00
Sharckflash,3255,7.14,0.00,3.92,66.67
VM MORAES,3172,8.82,10.00,6.93,50.00
Yamashita17,3139,15.79,22.41,15.38,53.85
Hattab78,3042,7.14,12.12,5.43,57.14
Teh Sith,2918,7.69,15.00,7.41,14.29
HavaianasBRR,2817,6.45,8.82,6.31,40.00
TUSUR FET,2792,13.79,25.00,10.84,50.00
Skipijslv,2762,6.78,10.81,4.04,73.33
edusombra,2692,1.47,0.00,1.77,50.00
Nevessss,2678,10.81,17.24,7.84,37.50
fuàallin,2675,10.77,16.67,11.54,16.67
custom_k,2669,2.63,0.00,1.69,20.00
Mat.huszcz,2609,7.46,13.16,5.05,33.33
thgpdvz88,2600,6.67,17.39,6.60,50.00
giimeyochipz,2590,3.51,3.57,7.50,28.57
GRaaBZ,2575,6.32,8.33,8.84,100.00
JOKER35r,2564,13.73,17.39,9.86,12.50
Pedro0HPC,2549,10.34,16.13,10.11,55.56
tauanfaria,2547,9.86,12.24,10.71,60.00
jackWOODYS,2540,12.16,12.82,8.49,42.86
NEADY05,2529,25.00,30.30,18.46,16.67
LoveStory17,2528,12.28,10.26,11.34,16.67
rybluk,2514,17.50,22.58,12.73,33.33
Tavaresz1,2489,6.67,5.00,6.76,40.00
ripenstein,2472,12.20,12.00,8.45,62.50
stels80,2469,6.67,6.67,7.35,16.67
AquiNãoNeném,2455,14.58,16.00,11.43,47.37
pokerbusss,2448,19.57,15.38,17.74,25.00
jr.BJanos,2440,13.89,8.89,9.32,50.00
iShuv,2433,10.91,16.67,9.64,14.29
PositivusLV,2427,9.09,10.71,7.41,44.44
mcleak1,2417,22.39,22.92,19.59,28.57
karga1111,2406,2.44,4.76,3.51,60.00
PlatoonXe,2405,5.26,5.26,4.49,33.33
PampaWroll,2387,14.63,20.83,17.11,100.00
Mastershiftt,2352,12.00,14.81,9.89,12.50
sergogans,2342,12.00,17.39,10.00,60.00
ptwz,2320,11.25,11.32,8.26,22.22
gazens,2287,13.85,15.79,11.43,40.00
Jevgeni1986,2278,26.19,30.00,20.00,40.00
ivbveiga,2261,12.50,18.75,10.00,42.86
leoor18,2259,30.99,28.13,24.21,16.67
Moroder19,2252,7.14,13.64,5.48,46.67
BIGUN32,2252,14.04,14.63,12.75,18.18
guiskg,2251,8.70,6.45,7.44,28.57
romanyk019,2239,5.77,4.76,3.66,20.00
Anton2423,2231,12.90,22.22,8.70,
lordanell,2216,13.33,15.15,8.00,16.67
ShincoUA,2207,7.84,14.29,5.56,76.92
kakaheinz,2199,2.97,2.50,5.56,50.00
claynuts,2193,13.73,16.67,16.67,
lucksuckdonk,2183,0.00,0.00,2.33,55.56
anjelika1968,2167,7.69,7.69,5.62,0.00
noplom,2166,2.33,4.55,1.69,100.00
J_Raphael9,2158,13.70,18.37,10.00,41.67
Formentera70,2155,13.73,16.13,15.48,50.00
LeeoOrlandi,2141,28.85,30.95,20.25,50.00
AAValAA,2126,3.57,9.09,3.85,33.33
hernandez021,2122,20.59,37.50,18.75,10.00
EnimoStar,2117,12.28,16.22,12.50,50.00
Valera060885,2097,8.57,12.00,6.25,33.33
leofor84,2094,5.71,7.14,8.77,100.00
Goban899,2090,5.17,8.82,5.43,50.00
GastaLost,2090,8.33,2.63,6.42,25.00
danyboy231,2083,12.90,26.92,11.00,16.67
eduardodantas95,2066,18.06,24.44,15.15,45.45
1527368,2053,14.89,12.90,10.00,0.00
akwebber,2039,11.11,14.55,10.81,60.00
phbolinha,2038,12.64,16.67,9.76,53.85
xBobnelso,2034,10.26,14.29,7.94,40.00
felagoa,2034,7.69,11.76,7.89,0.00
Originallyy,2032,6.67,15.15,6.60,40.00
Batima666,2028,12.96,16.67,8.64,50.00
Jr Germano,2008,4.92,6.82,4.08,37.50
Luckybaks7,2003,15.91,22.58,15.52,44.44
Gunz4Hire94,2003,9.43,10.00,9.52,60.00
AleksaSM,2000,5.00,4.55,3.45,75.00
LRedwolf,1980,12.00,13.04,9.48,25.00
persh600,1970,23.08,25.58,16.90,57.14
wanderer_pro,1964,22.03,26.83,20.55,22.22
MC_BAD_Kerch,1960,15.63,16.67,14.29,66.67
RNGadmin,1942,7.89,10.00,12.12,42.86
Lawkzin,1930,10.64,12.50,6.41,60.00
kronos_rus,1903,15.38,16.67,8.16,
BeowulfasLT,1898,8.20,9.38,6.32,50.00
momente07,1898,11.54,9.38,8.57,50.00
gilbertinio,1890,7.94,4.88,6.32,0.00
forcadellmg,1889,7.55,5.56,8.42,0.00
neverwin1965,1888,12.96,14.71,8.43,50.00
MbStoffel,1884,17.86,22.50,13.95,25.00
WellBr20,1877,9.33,8.11,10.89,56.25
axdecastro,1877,14.29,20.69,10.53,63.64
The Borsh,1875,0.00,0.00,0.00,0.00
Pet_topgreen,1874,17.54,22.22,12.50,33.33
Lucas Louly,1873,4.00,0.00,2.04,66.67
56NeverLose,1869,20.00,22.22,16.95,100.00
FL_RAP,1868,4.00,7.69,3.13,66.67
ImTalgat,1865,10.94,11.76,10.11,
Edushiokawa,1858,6.25,6.67,5.00,60.00
Fandorin2001,1858,6.90,6.67,8.16,100.00
sacha_cas,1857,6.98,6.67,8.70,33.33
Sn0wba11,1851,10.91,10.71,8.42,50.00
galobeats,1851,6.90,3.03,6.52,70.00
Anna[Kh.Ua],1844,16.00,23.53,9.30,0.00
CADILLACJET,1834,12.50,12.50,9.26,60.00
Santocx,1832,11.11,13.51,11.46,14.29
hoopay,1828,15.15,21.05,10.89,45.45
thiaguin325,1820,23.73,26.83,18.18,66.67
clavito691,1810,14.29,13.79,10.23,12.50
Rybka1294,1810,8.33,10.53,7.55,20.00
R.Castelaci,1805,10.20,11.76,9.09,83.33
alkach1,1802,3.57,0.00,4.65,
renem24,1801,12.00,17.65,9.38,20.00
jhonnei55,1799,16.13,9.38,14.14,0.00
toExploit,1796,16.67,20.00,11.48,40.00
Rashamba77,1796,12.73,12.50,11.54,0.00
dudununes,1796,0.00,0.00,0.00,20.00
rodrigovini,1789,13.73,22.22,10.96,40.00
2chance2,1782,10.00,4.00,9.41,33.33
mbb23,1781,5.88,11.11,4.23,45.45
VittorRod,1776,19.30,29.73,17.07,25.00
Casagrand245,1775,12.00,18.18,9.68,100.00
marschurr,1772,8.22,6.67,7.62,37.50
Dark Azazel,1768,27.08,40.00,19.74,42.86
MWCHESS,1768,10.34,13.79,8.94,0.00
Az@ze11o,1766,8.11,11.76,4.92,0.00
BondarevOleg,1759,6.00,7.14,3.95,40.00
Smith_106,1757,15.28,17.39,14.77,50.00
dcurvo,1756,9.43,16.00,8.54,50.00
soldado688,1751,7.27,11.76,8.57,42.86
mmishan,1751,3.70,6.06,3.41,71.43
edusombraBR,1750,4.48,6.45,3.48,25.00
kauêdc,1750,17.24,22.86,14.46,33.33
tuborg123456,1748,9.30,12.50,7.69,33.33
Zarakkki,1747,11.63,5.71,7.25,50.00
LuqqDamz,1744,13.16,5.56,10.71,50.00
NineBe,1743,8.33,10.81,10.10,50.00
tonydosreis,1731,16.39,12.50,12.77,57.14
sandre99,1725,9.43,11.11,8.11,
SirLunatic,1711,3.33,6.67,6.38,0.00
dav561,1710,0.00,0.00,4.17,50.00
black_cris,1709,12.50,10.00,7.69,50.00
reaL AGro,1704,12.77,16.67,9.86,0.00
vanja-berkyt,1696,12.82,12.50,13.56,14.29
TakeZITO1,1693,15.91,15.00,11.67,80.00
YujiMatsui17,1692,19.64,18.18,17.28,0.00
ronei11,1691,7.69,3.33,5.88,57.14
Lestatdiego,1684,12.50,7.41,7.79,50.00
Forget4bet,1682,23.53,44.00,21.18,40.00
Scorpion-DUG,1682,10.53,18.52,10.71,66.67
Gusmao Sex,1680,11.32,10.34,6.90,55.56
ukr_durrrr,1675,8.00,4.17,6.25,0.00
MVSRussia,1673,13.95,22.73,14.49,28.57
anahoret1908,1670,18.18,23.53,13.51,50.00
Laupinho,1669,21.21,30.56,14.43,28.57
marininartem,1665,14.29,14.29,23.08,50.00
Guns_SM,1663,7.50,12.50,8.62,33.33
PREVED-_-l,1661,10.91,12.50,8.42,30.00
bozy22,1650,6.15,9.09,3.67,100.00
FFM sour,1648,9.09,15.79,8.11,66.67
darklexor,1647,16.00,25.00,11.76,25.00
Mr.Jones2000,1631,4.44,6.25,4.35,66.67
vitoradiron,1630,12.20,12.50,10.29,33.33
jrobersonike,1629,8.33,12.50,9.09,70.00
danielbena,1618,8.00,12.90,8.00,50.00
fabinhofbo,1617,21.82,25.81,16.05,16.67
Bengalão,1615,22.64,25.00,14.44,28.57
Tomas20LT,1615,12.90,14.29,10.53,40.00
spr32900,1614,18.18,18.42,13.92,23.08
poker171536,1613,7.84,10.71,5.19,0.00
RafaPerroni,1611,8.93,6.25,6.67,80.00
evaaaaaaaaan,1609,3.23,7.14,3.06,
Rodrigo_Fim,1609,8.62,8.57,5.88,28.57
RCP.Lima,1608,22.22,25.00,16.46,62.50
Cabez1nho,1608,8.77,11.43,6.32,40.00
corvoflores,1601,17.31,20.00,18.99,20.00
Juusoaresz,1600,14.00,15.38,11.63,25.00
leduarte92,1596,12.50,18.18,11.32,60.00
adrzz2,1593,28.30,27.59,22.22,54.55
borobo66,1592,0.00,0.00,3.23,80.00
Bulgarelli16,1588,21.05,18.18,15.15,
BIELXXT96,1588,15.00,26.09,9.68,100.00
viniciusopis,1588,10.53,16.00,9.52,60.00
ViniciusJ94,1587,6.67,3.70,6.06,50.00
LarikkadoAA,1587,10.42,14.81,13.70,33.33
promatt1996,1586,16.00,18.18,13.24,25.00
denjoy,1583,5.56,9.52,7.55,0.00
st4616,1580,7.50,9.52,7.94,20.00
BRMigotto,1576,9.62,12.90,8.54,50.00
rumiton1988,1576,10.00,3.45,9.09,50.00
PokerTilt89,1575,3.45,4.76,2.44,100.00
swooshman X,1575,8.57,4.55,8.16,66.67
qqshonok666,1573,4.08,5.88,4.55,0.00
mauroc711,1570,11.11,16.00,8.57,66.67
alanjunnior,1563,17.95,21.05,16.98,50.00
al19777,1559,6.06,4.55,4.44,0.00
InsulinSweet,1552,0.00,0.00,3.13,0.00
FlavioDuraes,1551,22.86,37.50,13.33,
patriicksb,1550,9.30,6.45,13.85,0.00
juanmelojhsm,1550,15.79,22.73,12.07,20.00
D_marius_M,1549,8.16,8.33,7.50,50.00
Pianist888,1544,12.00,20.00,8.82,25.00
Faet N,1543,9.62,17.24,10.81,16.67
ricardovinog,1541,8.57,8.33,6.12,100.00
